interval,IPC
0,1.1929299999999998
1,0.686582
2,0.5440619999999999
3,0.48772200000000004
4,0.446798
5,0.442117
6,0.33433
7,0.318843
8,0.347441
9,0.36281199999999997
10,0.365155
11,0.962815
12,1.27511
13,1.29768
14,1.47763
15,2.01532
16,1.64409
17,1.11649
18,0.99356
19,0.917983
20,1.07843
21,0.927644
22,1.06406
23,1.11591
24,0.8570639999999999
25,0.876526
26,0.945994
27,0.913344
28,0.902223
29,0.9588459999999999
30,1.10394
31,0.951676
32,0.906064
33,0.870117
34,0.9116569999999999
35,0.93035
36,0.868643
37,0.8717469999999999
38,0.932766
39,0.908963
40,0.811474
41,0.9108120000000001
42,0.9140469999999999
43,0.9590280000000001
44,0.8761549999999999
45,0.9434950000000001
46,1.0172
47,0.9104530000000001
48,0.929644
49,0.8788549999999999
50,0.7864680000000001
51,0.390004
52,0.405484
53,0.45036000000000004
54,0.306708
55,0.333701
56,0.334106
57,0.370379
58,0.343823
59,0.399683
60,0.5018090000000001
61,0.411289
62,0.387139
63,0.366539
64,0.343301
65,0.26471300000000003
66,0.363271
67,0.482328
68,0.39223800000000003
69,0.344305
70,0.321703
71,0.336223
72,0.308703
73,0.32235199999999997
74,0.466178
75,0.421202
76,0.33536900000000003
77,0.336782
78,0.341629
79,0.332847
80,0.353556
81,0.48678
82,0.458764
83,0.343996
84,0.282551
85,0.302798
86,0.355508
87,0.360265
88,0.42811800000000005
89,0.47363299999999997
90,0.352043
91,0.328333
92,0.3541
93,0.34006
94,0.34720300000000004
95,0.403936
96,0.48397299999999993
97,0.34095
98,0.349267
99,0.34570500000000004
100,0.361537
101,0.362527
102,0.43009
103,0.521312
104,0.338535
105,0.37044699999999997
106,0.38048899999999997
107,0.370285
108,0.38664
109,0.436291
110,0.38852
111,0.327687
112,0.36457399999999995
113,0.358266
114,0.372871
115,0.326376
116,0.408808
117,0.49491599999999997
118,0.5362140000000001
119,0.554288
120,0.500858
121,0.461974
122,0.505984
123,0.37656100000000003
124,0.351139
125,0.353989
126,0.34233600000000003
127,0.320044
128,0.344202
129,0.49795500000000004
130,0.578126
131,0.47072299999999995
132,0.45364399999999994
133,0.530808
134,0.408893
135,0.39333
136,0.274608
137,0.366773
138,0.293682
139,0.426097
140,0.43218900000000005
141,0.41356400000000004
142,0.309629
143,0.317792
144,0.38914099999999996
145,0.374458
146,0.490512
147,0.633383
148,0.309227
149,0.35105
150,0.382573
151,0.277044
152,0.265843
153,0.43686400000000003
154,0.5550689999999999
155,0.340883
156,0.238021
157,0.333891
158,0.375919
159,0.291591
160,0.37318
161,0.592722
162,0.56134
163,0.308248
164,0.38206
165,0.462417
166,0.446737
167,0.532162
168,0.49427600000000005
169,0.46200399999999997
170,0.491777
171,0.372719
172,0.277356
173,0.47163999999999995
