interval,IPC
0,2.9332599999999998
1,2.9407900000000002
2,2.60334
3,2.60288
4,2.76947
5,2.26831
6,2.09686
7,1.98245
8,1.9349
9,1.9280599999999999
10,1.89166
11,2.3734
12,2.12875
13,2.92551
14,2.6957
15,2.36196
16,2.2985900000000004
17,2.01095
18,1.9794200000000002
19,1.9406700000000001
20,1.95023
21,1.94803
22,2.40852
23,1.8602400000000001
24,1.91107
25,1.98938
26,1.96533
27,1.9475900000000002
28,1.7729599999999999
29,2.12427
30,2.41153
31,2.04046
32,1.96514
33,1.8778599999999999
34,1.8286
35,1.82735
36,1.78575
37,2.54354
38,1.99754
39,1.8702299999999998
40,2.00106
41,1.86415
42,1.8089400000000002
43,1.8035599999999998
44,2.26043
45,1.8747200000000002
46,2.04117
47,1.8656400000000002
48,1.87932
49,1.7695900000000002
50,1.74252
51,1.80148
52,2.2913099999999997
53,1.9576799999999999
54,1.95757
55,1.88546
56,1.9001299999999999
57,1.84316
58,1.8334599999999999
59,2.01491
60,2.1979
61,1.9679200000000001
62,2.00978
63,1.8914
64,1.8674400000000002
65,1.91435
66,1.92599
67,2.3643099999999997
68,2.21985
69,1.9359400000000002
70,1.90935
71,1.8695
72,1.88277
73,1.85696
74,2.2686900000000003
75,2.16267
76,1.9593
77,1.9334799999999999
78,1.93449
79,1.8640400000000001
80,1.8746599999999998
81,1.9152
82,2.53417
83,2.05925
84,1.93144
85,1.94606
86,1.91304
87,1.88215
88,1.92852
89,2.32986
90,2.18729
91,1.99448
92,1.98397
93,1.95367
94,1.91185
95,1.91592
96,2.38104
97,2.1913
98,2.00693
99,1.9618
100,1.9543
101,1.9199599999999999
102,1.7638099999999999
103,1.9732900000000002
104,2.43241
105,2.06605
106,1.9654200000000002
107,1.9685099999999998
108,1.92743
109,1.8994400000000002
110,1.9307900000000002
111,2.56679
112,2.05377
113,1.8423599999999998
114,1.96157
115,1.7979900000000002
116,1.8977400000000002
117,1.8896099999999998
118,2.13388
