interval,hitsL3
0,558986.0
1,417983.0
2,461580.0
3,462110.0
4,451989.0
5,426601.0
6,432398.0
7,437384.0
8,449107.0
9,429775.0
10,423191.0
11,431485.0
12,433671.0
13,461505.0
14,449309.0
15,448898.0
16,385447.0
17,424338.0
18,446002.0
19,410084.0
20,445508.0
21,419645.0
22,449596.0
23,423189.0
24,421421.0
25,403276.0
26,459839.0
27,432494.0
28,434189.0
29,437785.0
30,456698.0
31,430181.0
32,430205.0
33,432909.0
34,400018.0
35,420778.0
36,408780.0
37,411895.0
38,446170.0
39,399847.0
40,415053.0
41,435330.0
42,401237.0
43,438225.0
44,381550.0
45,414362.0
46,441277.0
47,424300.0
48,390060.0
49,451404.0
50,446819.0
51,415611.0
52,404487.0
53,426141.0
54,416011.0
55,410366.0
56,413670.0
57,433826.0
58,390815.0
59,423683.0
60,411821.0
61,427493.0
62,430466.0
63,427152.0
64,425396.0
65,428233.0
66,424988.0
67,439680.0
68,439087.0
69,411396.0
70,410451.0
71,414377.0
72,431635.0
73,393274.0
74,405800.0
75,409372.0
76,410583.0
77,436621.0
78,403256.0
79,415327.0
80,419160.0
81,399556.0
82,431450.0
83,413532.0
84,450263.0
85,448819.0
86,452035.0
87,414929.0
88,417748.0
89,421003.0
90,427211.0
91,428050.0
92,429843.0
93,414644.0
94,400410.0
95,423890.0
96,417090.0
97,461886.0
98,423429.0
99,407932.0
100,434975.0
101,425617.0
102,403551.0
103,443729.0
104,411912.0
105,426492.0
106,437544.0
107,432698.0
108,408689.0
109,415268.0
110,431573.0
111,411419.0
112,453981.0
113,421727.0
114,415734.0
115,425128.0
116,387776.0
117,421407.0
118,399743.0
