interval,hitsL3
0,23416300.0
1,12818600.0
2,6421940.0
3,1891660.0
4,3432290.0
5,2511290.0
6,2020640.0
7,2544470.0
8,3209010.0
9,3246220.0
10,3015740.0
11,3549800.0
12,3531840.0
13,3348630.0
14,3844860.0
15,4096270.0
16,4308710.0
17,4970850.0
18,3634380.0
19,4907050.0
20,4869370.0
21,5756760.0
22,6334390.0
23,6320250.0
24,6296850.0
25,6548420.0
26,6454790.0
27,6743000.0
28,5998310.0
29,6090140.0
30,9598290.0
31,10002100.0
32,9481550.0
33,11710300.0
34,11290100.0
35,9271410.0
36,9127540.0
37,8492020.0
38,8622300.0
39,8146780.0
40,8098200.0
41,7645910.0
42,7425440.0
43,7106780.0
44,6524840.0
45,7622940.0
46,7280160.0
47,8794470.0
48,8765370.0
49,7392330.0
50,7326640.0
51,6994490.0
52,7759710.0
53,6012250.0
54,5345190.0
55,5439120.0
56,5537990.0
57,5542100.0
58,5565730.0
59,7878950.0
60,8775420.0
61,9239200.0
62,9526620.0
63,8200530.0
64,9170750.0
65,8818800.0
66,9255820.0
67,7682860.0
68,6144540.0
69,5758980.0
70,5767810.0
71,6341530.0
72,5830370.0
73,5896950.0
74,5726600.0
75,5613710.0
76,5945280.0
77,5547780.0
78,7494310.0
79,6541240.0
80,5676000.0
81,5909470.0
82,5788350.0
83,6031290.0
84,6060690.0
85,6227940.0
86,6304790.0
87,6139260.0
88,5693110.0
89,5782080.0
90,6181670.0
91,6213660.0
92,6153470.0
93,5947240.0
94,5835100.0
95,6376690.0
96,9787620.0
97,8715640.0
98,8803240.0
99,9497850.0
100,12570100.0
101,11341300.0
102,11483200.0
103,11251600.0
104,10140300.0
105,9602250.0
106,6760300.0
107,6425290.0
108,7192110.0
109,7313050.0
110,7336160.0
111,5641860.0
112,5687390.0
113,5602190.0
114,5563750.0
115,5404010.0
116,5539480.0
117,5735520.0
118,6252000.0
119,6204990.0
120,5572040.0
121,5546460.0
122,5644000.0
123,6428330.0
124,6349680.0
125,6976160.0
126,6098990.0
127,5975240.0
128,6676970.0
129,6852410.0
130,6240730.0
131,7009380.0
132,6871830.0
133,7046620.0
134,7109110.0
135,6832270.0
136,6642760.0
137,6465640.0
138,6746090.0
139,6583330.0
140,7207680.0
141,9160150.0
142,8255110.0
143,8007450.0
144,7030680.0
145,6701270.0
146,6390550.0
147,6712700.0
148,6633190.0
149,6603750.0
150,6298270.0
151,6043140.0
152,6619560.0
