interval,IPC
0,3.09498
1,2.80179
2,2.6061400000000003
3,1.6645299999999998
4,1.46025
5,2.6393299999999997
6,2.54557
7,2.71228
8,2.72052
9,2.68915
10,2.48862
11,1.59353
12,1.5138
13,1.49932
14,1.42335
15,1.4803600000000001
16,0.693095
17,0.596052
18,0.595454
19,0.696044
20,0.64026
21,0.629003
22,0.5926319999999999
23,0.674265
24,0.596503
25,0.602626
26,0.616015
27,0.7126680000000001
28,0.574021
29,0.590698
30,0.606308
31,0.639572
32,0.587725
33,0.6308600000000001
34,0.610413
35,0.606636
36,0.6023970000000001
37,0.5968939999999999
38,0.590128
39,0.6472289999999999
40,0.5846359999999999
41,0.609179
42,0.627909
43,0.6088939999999999
44,0.637931
45,0.629606
46,0.6154609999999999
47,0.674096
48,0.615781
49,0.629111
50,0.622962
51,0.585286
52,0.61864
53,0.514717
54,0.610449
55,0.613761
56,0.566441
57,0.5320699999999999
58,0.546847
59,0.6170220000000001
60,0.631243
61,0.6765800000000001
62,0.660316
63,0.686751
64,0.673971
65,0.599616
66,0.661822
67,0.585667
68,0.608829
69,0.555467
70,0.591588
71,0.62845
72,0.639912
73,0.603637
74,0.598053
75,0.586648
76,0.612364
77,0.584734
78,0.599528
79,0.614699
80,0.589834
81,0.616476
82,0.624306
83,0.608593
84,0.602835
85,0.6038899999999999
86,0.599742
87,0.6094470000000001
88,0.5978899999999999
89,0.5914
90,0.631642
91,0.613576
92,0.6485350000000001
93,0.6470229999999999
94,0.523258
95,0.5965689999999999
96,0.6189359999999999
97,0.6155189999999999
98,0.627684
99,0.627
100,0.703492
101,0.652197
102,0.652319
103,0.6986979999999999
104,0.665646
105,0.6396729999999999
106,0.6282810000000001
107,0.661261
108,0.656407
109,0.626534
110,0.625521
111,0.618839
112,0.653291
113,0.614596
114,0.653331
115,0.635824
116,0.631811
117,0.630322
118,0.627599
119,0.655942
120,0.606163
121,0.620728
122,0.617979
123,0.670609
124,0.641777
125,0.6288130000000001
126,0.57428
127,0.562549
128,0.629886
129,0.6352220000000001
130,0.63308
131,0.718485
132,0.742499
133,0.74193
134,0.764074
135,0.6838489999999999
136,0.637249
137,0.625637
138,0.623209
139,0.658049
140,0.722214
141,0.770947
142,0.647879
143,0.614735
144,0.6059979999999999
145,0.6372439999999999
146,0.65995
147,0.657546
148,0.598144
149,0.615354
150,0.627909
151,0.6210899999999999
152,0.6456529999999999
153,0.654224
154,0.705919
155,0.678002
156,0.653942
157,0.671272
158,0.6426930000000001
159,0.624075
160,0.663466
161,0.685619
162,0.640159
163,0.612792
164,0.645471
165,0.626942
166,0.661243
167,0.621026
168,0.6798770000000001
169,0.669954
170,0.639707
171,0.687117
172,0.6785439999999999
173,0.691016
174,0.712399
175,0.6848350000000001
176,0.7414430000000001
177,0.773472
178,0.711629
179,0.703112
180,0.677064
181,0.665768
182,0.67338
183,0.6737449999999999
184,0.679318
185,0.6796989999999999
186,0.6711239999999999
187,0.6560819999999999
188,0.6581359999999999
189,0.659556
190,0.688444
191,0.639443
