interval,hitsperOccupL3(KB)
0,1590.006038647343
1,1665.76900921659
2,1687.0545212765958
3,1444.6675531914893
4,1615.327868852459
5,956.9053398058253
6,966.3247863247864
7,2363.6182228915663
8,2333.6611842105262
9,3314.7073412698414
10,3458.910714285714
11,2937.2716346153848
12,1683.7689393939395
13,133.3326048951049
14,132.66012931034481
15,109.4375
16,144.56206597222223
17,112.54583333333333
18,106.84626436781609
19,85.15104166666667
20,75.36516608391608
21,64.94546178343948
22,182.81662735849056
23,84.3096590909091
24,97.46400669642857
25,139.66753472222223
26,123.65234375
27,86.95547945205479
28,130.89697802197801
29,78.96068548387096
30,145.0179794520548
31,92.45260416666666
32,102.31980846774194
33,80.80891719745223
34,150.97339527027026
35,184.2487664473684
36,120.79893410852713
37,156.84873670212767
38,131.87420550847457
39,196.309811827957
40,172.48135504201682
41,181.12410071942446
42,268.8782649253731
43,124.15603448275863
44,248.4514802631579
45,105.1390931372549
46,155.13948170731706
47,265.49295774647885
48,161.76971153846154
49,150.05891393442624
50,109.0
51,149.10657051282053
52,1917.1703767123288
53,8240.193965517241
54,1033.833705357143
55,1921.3229166666667
56,2701.5544871794873
57,2491.189024390244
58,1038.6141304347825
59,2168.7071078431372
60,1907.1800595238096
61,2843.656798245614
62,1798.373724489796
63,2067.3604910714284
64,1752.3693181818182
65,2799.8691860465115
66,1272.6913265306123
67,2088.219178082192
68,2539.681818181818
69,2713.3350409836066
70,911.6037735849056
71,2120.0
72,1623.5219594594594
73,3238.1672297297296
74,3360.3645833333335
75,2621.361228813559
76,1794.5659722222222
77,2534.4110576923076
78,1601.0611263736264
79,2310.4332386363635
80,1918.2891949152543
81,2242.252358490566
82,2101.8990384615386
83,2333.6739864864867
84,2498.090909090909
85,3559.6788194444443
86,1800.8881578947369
87,1563.1791338582677
88,7596.310096153846
89,3415.414402173913
90,2563.5221354166665
91,2095.3639240506327
92,1455.173076923077
93,2500.9709821428573
94,2077.65350877193
95,2038.2605421686746
96,2620.931603773585
97,1979.9228896103896
98,3220.123106060606
99,2178.6653645833335
100,3726.881793478261
101,4000.0234375
102,3599.3617021276596
103,2056.8276515151515
104,3049.8197115384614
105,2863.2742537313434
106,1822.588141025641
107,3078.9279513888887
108,1968.532196969697
109,3149.0666666666666
110,1555.2236842105262
111,2068.05
112,3355.4166666666665
113,2541.1991279069766
114,2150.197010869565
115,2474.5434782608695
116,2828.2312925170068
117,2169.382225433526
118,2053.4957627118642
119,4276.799768518518
120,1403.483527131783
121,2937.483891752577
122,1800.7667525773195
123,2356.109693877551
124,2109.9748883928573
125,2553.6392405063293
126,2427.0138888888887
127,2246.7318925233644
128,2886.629464285714
129,3235.859375
130,2108.4244791666665
131,2723.468070652174
132,3072.3192771084337
133,3497.9202586206898
134,2303.0241935483873
135,2845.185810810811
136,3124.041313559322
137,2346.162347560976
138,4004.186422413793
139,2335.888480392157
140,2567.5422297297296
141,3497.29375
142,3121.473214285714
143,2389.1107954545455
144,2327.5925925925926
145,2514.4541139240505
146,2087.253086419753
147,3846.2071078431372
148,2021.7307692307693
149,3103.8980263157896
150,2574.8116987179487
151,3437.8915229885056
152,2318.7791666666667
153,1518.1333705357142
154,2363.4292763157896
155,2219.442172897196
156,1771.2905844155844
157,1784.5233585858587
158,2784.585597826087
159,3049.5439189189187
160,2091.161265432099
161,2194.1319444444443
162,1685.9093468468468
163,4938.581081081081
164,1811.7227564102564
165,1322.9954954954956
166,2427.3285398230087
167,2310.549568965517
168,2655.4666666666667
169,1383.802599009901
170,1950.8474099099099
171,7447.120535714285
172,1811.3179347826087
173,1529.0503640776699
174,2939.8936170212764
175,5469.092465753424
176,2448.233173076923
177,1995.173969072165
178,9159.288194444445
179,3843.0985915492956
180,3544.9407327586205
181,2247.5582627118642
182,1970.514567669173
183,4246.006944444444
184,3949.716796875
185,3886.31875
186,2068.1464460784314
187,2568.667385057471
188,3550.4508196721313
189,2850.1356907894738
190,3188.2258064516127
191,3232.3011363636365
192,4178.376865671642
193,1964.4384765625
194,2972.8552631578946
195,2800.8492647058824
196,2595.1543674698796
197,2131.1107954545455
198,3540.5555555555557
