interval,IPC
0,2.2175599999999998
1,2.17965
2,2.0870900000000003
3,2.18833
4,2.1087
5,2.0335
6,2.05972
7,2.03267
8,2.06106
9,2.023
10,2.1048299999999998
11,2.0505400000000003
12,2.0358
13,2.02942
14,2.07722
15,2.11849
16,2.50109
17,2.9676
18,2.83682
19,0.49838599999999994
20,0.43278999999999995
21,0.406911
22,0.325905
23,0.351271
24,0.347475
25,0.27727199999999996
26,0.35687800000000003
27,0.265538
28,0.386194
29,0.39533
30,0.399119
31,0.298741
32,0.285433
33,0.350236
34,0.265995
35,0.306515
36,0.321152
37,0.29794
38,0.351878
39,0.381181
40,0.381241
41,0.27661199999999997
42,0.266271
43,0.336927
44,0.2942
45,0.29833699999999996
46,0.34677800000000003
47,0.273106
48,0.339897
49,0.337708
50,0.387961
51,0.41603
52,0.304624
53,0.347683
54,0.27311399999999997
55,0.297737
56,0.33320900000000003
57,0.235855
58,0.30751999999999996
59,0.33308499999999996
60,0.370656
61,0.43435100000000004
62,0.314046
63,0.315382
64,0.29088400000000003
65,0.296794
66,0.337802
67,0.26163800000000004
68,0.31569400000000003
69,0.29959600000000003
70,0.31200300000000003
71,0.41256099999999996
72,0.374162
73,0.277837
74,0.33372199999999996
75,0.288627
76,0.350664
77,0.333412
78,0.301008
79,0.354578
80,0.30302199999999996
81,0.335908
82,0.37263
83,0.374064
84,0.315205
85,0.271809
86,0.28327600000000003
87,0.2852
88,0.29280700000000004
89,0.32997600000000005
90,0.331598
91,0.373471
92,0.46265100000000003
93,0.48625799999999997
94,0.392683
95,0.359729
96,0.337933
97,0.324036
98,0.37109699999999995
99,1.25566
100,2.66316
101,2.57852
102,2.53036
103,2.53268
104,2.5099400000000003
105,2.43757
106,2.39776
107,2.44122
108,2.41818
109,2.43572
110,2.43525
111,2.42814
112,2.40923
113,2.43102
114,2.41866
115,1.45841
116,0.819127
117,0.817108
118,0.8998360000000001
119,0.675595
120,0.402675
121,0.401522
122,0.358293
123,0.410367
124,0.44247600000000004
125,0.41859799999999997
126,0.356879
127,0.327257
128,0.30067699999999997
129,0.344423
130,0.323748
131,0.343287
132,0.386113
133,0.347825
134,0.407975
135,0.39474899999999996
136,0.331466
137,0.359441
138,0.28476799999999997
139,0.36075300000000005
140,0.35480100000000003
141,0.31709899999999996
142,0.33960500000000005
143,0.348649
144,0.328763
145,0.354648
146,0.326665
147,0.435105
148,0.414233
149,0.322536
150,0.369338
151,0.336118
152,0.35546300000000003
153,0.309521
154,0.30641799999999997
155,0.34474
156,0.345225
157,0.343117
158,0.402911
159,0.372763
160,0.32267199999999996
161,0.310974
162,0.39515100000000003
163,0.33168600000000004
164,0.287893
165,0.300046
166,0.362643
167,0.309814
168,0.321825
169,0.41985600000000006
170,0.42248199999999997
171,0.41758
172,0.371693
173,0.384151
174,0.34395
175,0.35068299999999997
176,0.391228
177,0.333355
178,0.28842199999999996
179,0.277933
180,0.323354
181,0.348144
182,0.380089
183,0.35775
184,0.35861
185,0.472106
186,0.45072399999999996
187,0.49217
188,0.508985
189,0.670167
190,0.5489470000000001
191,0.585388
192,0.487304
193,0.435547
194,0.372161
195,0.415205
196,0.350723
197,0.352523
198,0.392289
199,0.367667
200,0.427044
201,0.447679
202,0.532287
203,0.526598
204,0.410843
205,0.401575
206,0.456246
207,0.462758
208,0.514552
209,0.437144
210,0.541037
211,0.452154
212,0.454502
213,0.49697399999999997
214,0.398352
215,0.373824
216,0.394394
217,0.366173
218,0.39834899999999995
219,0.40278400000000003
220,0.437576
221,0.426647
222,0.435355
223,0.433874
224,0.42157700000000004
