interval,hitsL3
0,351252.0
1,2771570.0
2,3762970.0
3,3023060.0
4,2259960.0
5,1916260.0
6,1753250.0
7,1647440.0
8,2044580.0
9,1891670.0
10,1720230.0
11,1853910.0
12,2431410.0
13,2467560.0
14,2337770.0
15,3078820.0
16,2311170.0
17,2041320.0
18,1626130.0
19,2010620.0
20,1591830.0
21,1942800.0
22,1528410.0
23,2176840.0
24,1937340.0
25,1648730.0
26,1569340.0
27,1620480.0
28,1580520.0
29,1394740.0
30,1570980.0
31,2173430.0
32,1867830.0
33,1896540.0
34,1714140.0
35,1955060.0
36,1599120.0
37,1831450.0
38,1717020.0
39,2188540.0
40,1824910.0
41,1902930.0
42,1592840.0
43,1963300.0
44,1416580.0
45,1453420.0
46,1477600.0
47,1889420.0
48,1779630.0
49,1477420.0
50,1488280.0
51,1814960.0
52,1515680.0
53,1712140.0
54,1691820.0
55,2109180.0
56,1630960.0
57,1784920.0
58,1646840.0
59,1919990.0
60,1481610.0
61,1425380.0
62,1959830.0
63,2062740.0
64,1608460.0
65,1491670.0
66,1736830.0
67,1661630.0
68,1424070.0
69,1512390.0
70,1831500.0
71,1965600.0
72,1532730.0
73,1530210.0
74,1697040.0
75,1617600.0
76,1346890.0
77,1466820.0
78,1858920.0
79,1598530.0
80,1446900.0
81,1454890.0
82,1556600.0
83,1511930.0
84,1304110.0
85,1500360.0
86,2024920.0
87,1798110.0
88,1543660.0
89,1508990.0
90,1640820.0
91,1639420.0
92,1552320.0
93,1728260.0
94,1863700.0
95,1488300.0
96,1476870.0
97,1420880.0
98,1649090.0
99,1556540.0
100,1537830.0
101,1910840.0
102,1748370.0
103,1508550.0
104,1451510.0
105,1496080.0
106,1707750.0
107,1517120.0
108,1753820.0
109,1758280.0
110,1602260.0
111,1448630.0
112,1455130.0
113,1467060.0
114,1787610.0
115,2013690.0
116,2323040.0
117,1994750.0
118,1605130.0
119,1374950.0
120,1605930.0
121,1582900.0
122,1605500.0
123,2230020.0
124,1968380.0
125,1780170.0
126,1935700.0
127,1690010.0
128,1772510.0
129,1683760.0
130,1473040.0
131,1441210.0
132,1371300.0
133,1356230.0
134,1599480.0
135,1676550.0
136,1746110.0
137,1941210.0
138,2274340.0
139,1777550.0
140,1754970.0
141,1628530.0
142,1525320.0
143,1442200.0
144,1638290.0
145,1603950.0
146,1666810.0
147,2023310.0
148,1768860.0
149,1854650.0
150,1771150.0
151,1576060.0
152,1461120.0
153,2239380.0
154,3028510.0
155,2991690.0
156,1524170.0
157,1934680.0
158,1853470.0
159,1325240.0
160,1416010.0
