interval,hitsperOccupL3(KB)
0,731.775
1,374.941829004329
2,464.7937252964427
3,1098.4956395348838
4,441.3984375
5,592.9022277227723
6,576.7269736842105
7,695.7094594594595
8,425.95416666666665
9,832.6012323943662
10,827.0336538461538
11,369.0107484076433
12,672.4032079646017
13,397.4806701030928
14,326.13978794642856
15,628.843954248366
16,622.6212284482758
17,596.1799065420561
18,416.52920081967216
19,675.611559139785
20,663.2625
21,855.1056338028169
22,463.71662621359224
23,654.0985576923077
24,624.1430412371134
25,757.6884191176471
26,538.9217032967033
27,369.6350364963504
28,809.6926229508197
29,681.025390625
30,481.30514705882354
31,458.91680743243245
32,758.0478896103896
33,955.9173387096774
34,563.8618421052631
35,763.6953125
36,549.1483516483516
37,615.4065860215054
38,432.71673387096774
39,542.7926587301587
40,483.291843220339
41,716.464608433735
42,404.6849593495935
43,829.0962837837837
44,702.6686507936508
45,688.1723484848485
46,491.22340425531917
47,461.2841796875
48,405.9375
49,524.6519886363636
50,451.54126213592235
51,872.5769230769231
52,706.9402985074627
53,753.5827464788732
54,362.11900684931504
55,507.0144230769231
56,621.5548780487804
57,633.8494318181819
58,565.5357142857143
59,521.7364130434783
60,487.3717105263158
61,578.4821428571429
62,532.5625
63,421.3112745098039
64,369.59099264705884
65,372.9175
66,571.3256578947369
67,633.2431402439024
68,332.10587686567163
69,477.3958333333333
70,440.2644230769231
71,1059.051724137931
72,704.3795955882352
73,430.80236486486484
74,638.9457831325301
75,777.6923076923077
76,592.8213028169014
77,322.80369718309856
78,370.0079617834395
79,657.2902960526316
80,636.8397887323944
81,385.2992584745763
82,402.01446280991735
83,583.3063271604939
84,428.98355263157896
85,342.235401459854
86,458.5416666666667
87,759.3369932432432
88,502.4934895833333
89,535.8629261363636
90,438.25320512820514
91,656.8189102564103
92,373.15384615384613
93,409.1524621212121
94,606.6731770833334
95,750.1512096774194
96,549.4308035714286
97,548.179012345679
98,780.8191287878788
99,900.7754629629629
100,485.4261363636364
101,392.85361842105266
102,471.00484913793105
103,812.7963362068965
104,657.3867753623189
105,467.525
106,539.0625
107,1316.9444444444443
108,576.9144736842105
109,533.4587378640776
110,625.8828125
111,508.64817415730334
112,1263.1336805555557
113,520.9730113636364
114,503.2685810810811
115,425.1879222972973
116,384.1005291005291
117,546.8064692982456
118,432.4164870689655
119,605.1716549295775
120,749.0345149253732
121,716.893115942029
122,332.26407284768214
123,412.3557692307692
124,504.1956967213115
125,383.6573275862069
126,679.6699438202247
127,4062.5240384615386
128,629.4424715909091
129,907.198275862069
130,554.6084337349398
131,562.97265625
132,542.4446202531645
133,516.8559451219512
134,624.796875
135,534.6141581632653
136,551.1710858585859
137,748.9236111111111
138,568.585
139,399.62904676258995
140,609.3645833333334
141,508.915625
142,481.47727272727275
143,385.20299145299145
144,721.0783450704225
145,506.2973484848485
146,434.0651041666667
147,497.8617125984252
148,789.6696428571429
149,643.9756944444445
150,446.35836693548384
151,492.51875
152,501.75824175824175
153,744.4747340425532
154,706.2756529850747
155,827.3478982300885
156,453.6220238095238
157,679.311797752809
158,772.2791666666667
159,678.9139344262295
160,417.45577830188677
