interval,hitsL3
0,10759700.0
1,21086800.0
2,23562000.0
3,58198600.0
4,85949800.0
5,29237100.0
6,7144150.0
7,358954.0
8,7565390.0
9,966909.0
10,3935980.0
11,469862.0
12,5701820.0
13,4627540.0
14,17651400.0
15,12467500.0
16,26962200.0
17,76730000.0
18,77344000.0
19,76813700.0
20,75654200.0
21,64316000.0
22,523619.0
23,661583.0
24,523102.0
25,520340.0
26,331754.0
27,874098.0
28,1165860.0
29,755357.0
30,378080.0
31,444703.0
32,479548.0
33,466462.0
34,565470.0
35,355656.0
36,806481.0
37,680159.0
38,945785.0
39,413890.0
40,452040.0
41,420604.0
42,377554.0
43,562969.0
44,394314.0
45,601596.0
46,630479.0
47,858313.0
48,457318.0
49,521556.0
50,439871.0
51,350585.0
52,502662.0
53,280042.0
54,559515.0
55,385029.0
56,926003.0
57,548270.0
58,416952.0
59,528407.0
60,366779.0
61,572426.0
62,447046.0
63,468494.0
64,334385.0
65,717631.0
66,792965.0
67,401842.0
68,401518.0
69,302448.0
70,572708.0
71,360023.0
72,664601.0
73,327528.0
74,587270.0
75,732315.0
76,576121.0
77,451836.0
78,347894.0
79,396122.0
80,354117.0
81,405150.0
82,395896.0
83,333934.0
84,595334.0
85,562373.0
86,541617.0
87,372444.0
88,468513.0
89,325086.0
90,316582.0
91,413106.0
92,401968.0
93,628362.0
94,535880.0
95,877255.0
96,410537.0
97,446260.0
98,512951.0
99,407708.0
100,404866.0
101,375644.0
102,456832.0
103,586336.0
104,664122.0
105,576072.0
106,421927.0
107,402470.0
108,331990.0
109,537282.0
110,328184.0
111,474072.0
112,385921.0
113,652161.0
114,771335.0
115,366961.0
116,451665.0
117,305287.0
118,538649.0
119,337450.0
120,401917.0
121,332248.0
122,359903.0
123,713912.0
124,673472.0
125,396367.0
126,337746.0
127,452076.0
128,325695.0
129,411126.0
130,603294.0
131,379841.0
132,548010.0
133,546984.0
134,730689.0
135,346733.0
136,497315.0
137,423412.0
138,354954.0
139,530519.0
140,358406.0
141,496269.0
142,717792.0
143,822140.0
144,325941.0
145,384638.0
146,457194.0
147,395048.0
148,627359.0
149,354716.0
150,587118.0
151,698927.0
152,517744.0
153,1330080.0
154,803356.0
155,577863.0
156,688935.0
157,493510.0
158,767508.0
159,498899.0
160,498479.0
161,336649.0
162,281324.0
163,328261.0
164,347755.0
165,473423.0
166,257634.0
167,594116.0
168,472436.0
169,743326.0
170,641576.0
171,657022.0
172,468558.0
173,836128.0
174,419659.0
175,405547.0
176,366530.0
177,341746.0
178,362642.0
179,288396.0
180,487995.0
181,358324.0
182,491444.0
183,582682.0
184,323804.0
185,451509.0
186,321136.0
187,370564.0
188,310729.0
189,316255.0
190,410027.0
191,466559.0
192,674829.0
193,501488.0
194,459356.0
195,282561.0
196,476294.0
197,352322.0
198,349838.0
199,498824.0
200,290645.0
201,630725.0
202,577704.0
203,459074.0
204,342210.0
205,319205.0
206,426255.0
207,439143.0
208,390669.0
209,262210.0
210,384266.0
211,557765.0
212,800334.0
213,338316.0
214,374419.0
215,418519.0
216,377325.0
217,431799.0
218,325568.0
219,512927.0
220,361158.0
221,535786.0
222,504163.0
223,348501.0
224,538853.0
225,355671.0
226,403532.0
227,339199.0
228,481383.0
229,433780.0
230,545576.0
231,676643.0
232,468467.0
233,419679.0
234,351025.0
235,489537.0
236,348477.0
237,665896.0
238,385402.0
239,749525.0
240,591122.0
241,660896.0
242,416557.0
243,394181.0
244,445211.0
245,320749.0
246,434084.0
247,338371.0
248,530469.0
249,589747.0
250,759403.0
251,391719.0
252,588769.0
253,399537.0
254,377684.0
255,472511.0
256,324755.0
257,526044.0
258,538219.0
259,812949.0
260,591385.0
261,336871.0
262,438375.0
263,387081.0
264,454430.0
265,366026.0
266,449177.0
267,386097.0
268,609822.0
269,737774.0
270,514599.0
271,577053.0
272,342567.0
273,449410.0
274,404358.0
275,455441.0
276,383593.0
277,357149.0
278,744445.0
279,621181.0
280,497058.0
281,398945.0
282,472775.0
283,387375.0
284,505654.0
285,487164.0
286,374088.0
287,554924.0
288,517949.0
289,753762.0
290,404012.0
291,518624.0
292,428832.0
293,382598.0
294,446465.0
295,358018.0
296,431466.0
297,719085.0
298,835901.0
299,440331.0
300,747520.0
301,566605.0
302,486022.0
303,490974.0
304,602571.0
305,475873.0
306,475853.0
307,758253.0
308,723326.0
309,955404.0
310,715118.0
311,790582.0
312,536593.0
313,896592.0
314,519045.0
315,561501.0
316,493221.0
317,436642.0
318,647638.0
319,409423.0
320,524746.0
321,460892.0
322,761535.0
323,948774.0
324,895113.0
325,1119630.0
326,748389.0
327,885936.0
328,625825.0
329,482081.0
330,500936.0
331,540395.0
332,449025.0
333,393305.0
334,502784.0
335,400786.0
336,724226.0
337,787824.0
338,555209.0
339,352034.0
340,407678.0
341,478079.0
342,443750.0
343,547220.0
344,361616.0
345,343380.0
346,724257.0
347,668307.0
348,611386.0
349,338478.0
350,456173.0
351,408752.0
352,374617.0
353,511428.0
