interval,hitsL3
0,70485.0
1,183710.0
2,869895.0
3,211712.0
4,277677.0
5,499982.0
6,968469.0
7,629259.0
8,907512.0
9,593288.0
10,758160.0
11,588624.0
12,930096.0
13,474316.0
14,852553.0
15,389317.0
16,564439.0
17,408928.0
18,234698.0
19,571414.0
20,965197.0
21,337541.0
22,1193520.0
23,541669.0
24,1173710.0
25,549622.0
26,823557.0
27,499467.0
28,335422.0
29,499022.0
30,1066360.0
31,571949.0
32,936242.0
33,558710.0
34,330892.0
35,545660.0
36,345863.0
37,338410.0
38,874093.0
39,491063.0
40,1112300.0
41,522839.0
42,779502.0
43,347212.0
44,364290.0
45,512180.0
46,1015530.0
47,456177.0
48,879641.0
49,504975.0
50,371709.0
51,496975.0
52,844983.0
53,502041.0
54,1083940.0
55,481593.0
56,1078270.0
57,463290.0
58,698861.0
59,462274.0
60,373469.0
61,457806.0
62,994331.0
63,859076.0
64,870033.0
65,851548.0
66,614918.0
67,833354.0
68,840489.0
69,820904.0
70,801191.0
71,937662.0
72,708677.0
73,1102690.0
74,745598.0
75,1355730.0
76,742786.0
77,1228690.0
78,701633.0
79,1273620.0
80,699868.0
81,1015890.0
82,676978.0
83,1214950.0
84,702950.0
85,1280630.0
86,684695.0
87,832990.0
88,655419.0
89,1007050.0
90,657566.0
91,1208710.0
92,626131.0
93,1156290.0
94,655797.0
95,362082.0
96,623484.0
97,945860.0
98,622968.0
99,446330.0
100,621115.0
101,1155240.0
102,610237.0
103,771359.0
104,566658.0
105,362650.0
106,599443.0
107,1137990.0
108,567831.0
109,1062120.0
110,558869.0
111,361586.0
112,565175.0
113,848186.0
114,553728.0
115,1034370.0
116,538898.0
117,1036630.0
118,537385.0
119,638795.0
120,509485.0
121,767873.0
122,521912.0
123,905118.0
124,380818.0
125,836605.0
126,375918.0
127,362617.0
128,365300.0
129,368897.0
130,373023.0
131,351355.0
132,365543.0
133,372008.0
134,378207.0
135,569473.0
136,444456.0
137,357069.0
138,383695.0
139,887384.0
140,374383.0
141,367472.0
142,360746.0
143,367727.0
144,374013.0
145,379546.0
146,417922.0
147,874266.0
148,393581.0
149,875122.0
150,390745.0
151,386431.0
152,359015.0
153,357279.0
154,1262330.0
155,761988.0
156,1313870.0
157,759194.0
158,1033750.0
159,361443.0
160,1103050.0
161,375938.0
162,1126260.0
163,599223.0
164,661085.0
165,344024.0
166,821813.0
167,586052.0
168,369471.0
169,375928.0
170,980783.0
171,362911.0
172,387431.0
173,383676.0
174,807428.0
175,371010.0
176,390296.0
177,372960.0
178,1027390.0
179,551966.0
180,646021.0
181,516902.0
182,367679.0
