interval,hitsperOccupL3(KB)
0,1585.8477209944751
1,2523.5102739726026
2,1500.7270408163265
3,2906.7531779661017
4,1400.5357142857142
5,1388.1041666666667
6,664.443359375
7,1941.53125
8,1225.3229166666667
9,3342.564655172414
10,1161.9707661290322
11,1386.4921875
12,1422.45625
13,2244.03125
14,1990.8653846153845
15,947.6636904761905
16,2209.84375
17,4026.2746710526317
18,581.2677556818181
19,156.58928571428572
20,201.0499387254902
21,90.42877252252252
22,132.30871212121212
23,110.50951086956522
24,126.93677325581395
25,102.25694444444444
26,98.71614583333333
27,179.94897959183675
28,86.8388671875
29,136.12719298245614
30,115.96623563218391
31,145.78523936170214
32,74.44173177083333
33,122.02321428571429
34,116.95541666666666
35,93.63253012048193
36,84.13483146067416
37,127.61240671641791
38,143.85597826086956
39,134.10041666666666
40,96.50297619047619
41,153.13422131147541
42,105.02986111111112
43,96.50372023809524
44,82.27738402061856
45,147.4360119047619
46,201.58688186813185
47,171.7952302631579
48,200.06031976744185
49,287.77560240963857
50,365.05015432098764
51,289.2888719512195
52,238.6628937007874
53,183.1991185897436
54,345.6134259259259
55,353.1904761904762
56,195.1204128440367
57,117.61099137931035
58,178.06286764705882
59,526.5648148148148
60,269.94897959183675
61,87.99707943925233
62,211.32275
63,81.10786897590361
64,190.75413602941177
65,101.24451013513513
66,146.93494897959184
67,110.5220588235294
68,262.1731870229008
69,2782.589285714286
70,5139.192708333333
71,2373.3375
72,1634.6728515625
73,1416.3254310344828
74,2043.5021551724137
75,2306.3194444444443
76,1271.40625
77,1369.840425531915
78,1938.778409090909
79,5084.6875
80,1401.390625
81,1528.9816810344828
82,2553.4151785714284
83,1976.892361111111
84,1587.398097826087
85,2794.717261904762
86,3365.1339285714284
87,1206.7055084745762
88,2459.4125
89,2713.1617647058824
90,1713.5724431818182
91,1627.6704545454545
92,1660.4127358490566
93,2291.837121212121
94,1150.683962264151
95,1383.5699152542372
96,1216.8551587301588
97,1900.9950657894738
98,1490.4050925925926
99,2019.9107142857142
100,1796.1755952380952
101,2233.33125
102,2123.4510869565215
103,3289.8214285714284
104,2128.3303571428573
105,1345.2746212121212
106,4336.889880952381
107,1689.157196969697
108,1779.8223039215686
109,2476.467391304348
110,3855.9933035714284
111,2934.71875
112,1421.844758064516
113,1512.3575367647059
114,3971.15234375
115,1995.400390625
116,1209.612676056338
117,1993.719758064516
118,2592.4617346938776
119,1995.3125
120,1200.6634615384614
121,2253.6696428571427
122,2313.089285714286
123,2913.54343220339
124,2388.325
125,2794.0096153846152
126,2719.891581632653
127,3557.7721774193546
128,3621.796875
129,1981.4031862745098
130,1593.5811781609195
131,7838.461538461538
132,2209.9479166666665
133,2655.608108108108
134,2766.5550595238096
135,3264.142441860465
136,1974.245283018868
137,3805.1339285714284
138,2695.595238095238
139,8406.985294117647
140,2039.525462962963
141,1634.6326754385964
142,5837.664473684211
143,2133.840460526316
144,2708.389423076923
145,4762.256944444444
146,3272.974537037037
147,3417.7688953488373
148,2375.613425925926
149,1972.3622881355932
150,2011.2755102040817
151,2542.0852272727275
152,2174.184027777778
153,2396.875
154,4032.3798076923076
155,1837.5045955882354
156,2456.6369047619046
157,3123.7369791666665
158,2777.9796511627906
159,2745.3737745098038
160,3968.5714285714284
161,3568.6277173913045
162,1611.9877049180327
163,2531.3991477272725
164,5708.0838815789475
165,2663.3854166666665
166,1014.9479166666666
167,1654.8549107142858
168,1513.0048076923076
169,2973.6160714285716
170,1451.4967105263158
171,1517.1969696969697
172,3388.0989583333335
173,5065.581597222223
174,4294.972826086957
175,1465.276268115942
176,2023.157327586207
177,2211.810344827586
178,2216.875
179,1758.9166666666667
180,3827.7398255813955
181,2519.0463362068967
182,1701.0695422535211
183,3865.534539473684
184,2332.410714285714
185,4118.463541666667
186,2214.541015625
187,2297.7367424242425
188,1987.7604166666667
189,2883.791273584906
190,2939.0853658536585
191,2918.200431034483
192,2179.2736486486488
193,3740.849609375
194,1709.502840909091
195,3480.612980769231
196,2721.1309523809523
197,2249.939516129032
198,1428.3920454545455
199,1308.8370253164558
200,2696.8241279069766
201,4288.839285714285
202,1780.625
203,3062.1180555555557
204,2362.9550438596493
205,2008.8541666666667
206,1806.0610465116279
207,2659.923780487805
208,2935.548469387755
209,1739.3933823529412
210,2214.6015625
211,6134.130434782609
212,3178.2774390243903
213,4520.991379310345
214,2348.59375
215,5420.679347826087
216,2962.28515625
217,6527.105263157895
218,2307.703488372093
219,7583.557692307692
220,4920.15625
221,4024.150390625
222,3687.9310344827586
223,3704.073660714286
224,3985.3125
225,6172.592592592592
226,2445.2533783783783
227,2806.9821428571427
228,3111.0416666666665
229,4362.897727272727
230,2054.6153846153848
231,2190.46875
232,2320.175304878049
233,10956.25
234,3424.2736486486488
235,1620.1458333333333
236,1812.390350877193
237,5722.373046875
238,6454.483173076923
239,3804.7048611111113
240,2583.089139344262
241,4346.4375
242,5646.62109375
243,3805.2291666666665
244,5470.581896551724
245,3419.9366554054054
246,5514.675925925926
247,2882.233455882353
248,4532.128378378378
249,2051.820652173913
250,2375.7583841463415
251,3999.2024253731342
252,3601.7835365853657
253,2246.7752659574467
254,4153.665364583333
255,4533.233173076923
256,3790.9300595238096
257,4202.530241935484
258,3390.2533783783783
259,2131.953125
260,1701.423076923077
261,5074.560185185185
262,4736.770833333333
263,4362.180232558139
264,4922.6953125
265,3008.203125
266,2292.0048076923076
