interval,IPC
0,2.94919
1,2.32134
2,2.53884
3,3.24192
4,2.49686
5,2.50598
6,2.53669
7,2.24418
8,2.36345
9,3.2372900000000002
10,2.65477
11,2.4161799999999998
12,2.51288
13,2.08945
14,2.0134
15,2.23618
16,2.6483
17,2.0975599999999996
18,1.5341
19,2.40708
20,2.3773
21,2.05058
22,1.92182
23,2.35148
24,2.08449
25,2.1547
26,1.92307
27,1.79165
28,2.3265
29,2.38058
30,2.0390099999999998
31,1.7801099999999999
32,2.3858599999999996
33,1.93197
34,2.41348
35,1.9125299999999998
36,1.86149
37,2.36042
38,2.34741
39,1.97627
40,1.7886799999999998
41,2.51602
42,2.0259400000000003
43,2.01609
44,1.7962900000000002
45,1.6412
46,2.3496799999999998
47,2.3244700000000003
48,2.00609
49,1.56551
50,1.86442
51,2.09904
52,1.84043
53,1.48253
54,1.33554
55,1.42875
56,2.36796
57,1.62945
58,1.52425
59,1.36663
60,1.42675
61,1.36277
62,2.1634900000000004
63,1.63133
64,1.69605
65,1.60453
66,1.29282
67,1.6835900000000001
68,2.1450400000000003
69,1.88753
70,1.4680600000000001
71,1.48069
72,1.43727
73,2.41141
74,1.7462099999999998
75,1.64867
76,1.46564
77,1.47241
78,1.94902
79,1.83465
80,1.6938799999999998
81,1.6723400000000002
82,1.45913
83,1.42802
84,2.4121200000000003
85,1.8662400000000001
86,1.59686
87,1.4393799999999999
88,1.37834
89,1.89483
90,1.86218
91,1.6521700000000001
92,1.62269
93,1.56271
94,1.3535700000000002
95,2.22523
96,1.6372200000000001
97,1.70816
98,1.37412
99,1.3079399999999999
100,1.4291200000000002
101,2.34498
102,1.69605
103,1.5648
104,1.55471
105,1.3388
106,1.8387
107,1.8337900000000003
108,1.77207
109,1.58385
110,1.4547700000000001
111,1.35602
112,2.00557
113,1.92872
114,1.7609599999999999
115,1.4090799999999999
116,1.44106
117,1.4346299999999998
118,2.25202
119,1.76578
120,1.68629
121,1.4244
122,1.29837
123,1.7902799999999999
124,1.9481
125,1.73681
126,1.5142799999999998
127,1.37992
128,1.44966
129,1.9859
130,1.94619
131,1.62829
132,1.49374
133,1.34788
134,1.3164799999999999
135,2.3065700000000002
136,1.93028
137,1.63342
138,1.3997700000000002
139,1.33907
140,1.8726599999999998
141,1.97593
142,1.7490400000000002
143,1.63717
144,1.48652
145,1.44569
146,2.24601
147,1.7213
