interval,hitsL3
0,47327.0
1,59476.0
2,1215520.0
3,933050.0
4,50131.0
5,1189610.0
6,1579100.0
7,302252.0
8,242541.0
9,1459660.0
10,1672450.0
11,1019520.0
12,51201.0
13,1161840.0
14,1741330.0
15,1749840.0
16,21532.0
17,488189.0
18,1948240.0
19,1990720.0
20,1799660.0
21,522706.0
22,93676.0
23,1701130.0
24,1761730.0
25,1804860.0
26,1931660.0
27,861535.0
28,54692.0
29,1393700.0
30,1906900.0
31,1907870.0
32,1848480.0
33,1174190.0
34,43451.0
35,1009660.0
36,1850110.0
37,1790840.0
38,1755260.0
39,1987090.0
40,433392.0
41,91209.0
42,1802760.0
43,1862490.0
44,1874050.0
45,1848050.0
46,1786160.0
47,480581.0
48,96875.0
49,1703760.0
50,1824320.0
51,1779240.0
52,1864420.0
53,1933540.0
54,1815280.0
55,154090.0
56,343500.0
57,1807820.0
58,1872110.0
59,1783270.0
60,1845580.0
61,1926490.0
62,1888040.0
63,719870.0
64,67145.0
65,1622670.0
66,1946060.0
67,1836560.0
68,1766180.0
69,2006760.0
70,1951210.0
71,1707010.0
72,231020.0
73,282649.0
74,1816600.0
75,1742190.0
76,1700340.0
77,1884350.0
78,1883060.0
79,1748110.0
80,1643160.0
81,239330.0
82,251265.0
83,1704680.0
84,1723140.0
85,1899400.0
86,1864690.0
87,1843200.0
88,1669230.0
89,1895560.0
90,1978490.0
91,64076.0
92,375215.0
93,1795130.0
94,1901250.0
95,1850480.0
96,1738410.0
97,1742880.0
98,1963140.0
99,1857320.0
100,1766470.0
101,1208260.0
102,46028.0
103,936205.0
104,1793750.0
105,1642040.0
106,1885780.0
107,1877640.0
