interval,hitsL3
0,353428.0
1,1924240.0
2,2029940.0
3,2552550.0
4,1965040.0
5,1716550.0
6,1486020.0
7,1576140.0
8,1474260.0
9,1574430.0
10,1481060.0
11,1309190.0
12,1676000.0
13,1771040.0
14,1705680.0
15,1756360.0
16,1813350.0
17,1890680.0
18,1472250.0
19,1384920.0
20,1370870.0
21,1493400.0
22,1595140.0
23,1425920.0
24,1539000.0
25,1689860.0
26,1723140.0
27,1513400.0
28,1586200.0
29,1572700.0
30,1489170.0
31,1633950.0
32,1468890.0
33,1628660.0
34,1993360.0
35,1761820.0
36,1511330.0
37,1471800.0
38,1531900.0
39,1541520.0
40,1624280.0
41,1631460.0
42,1794970.0
43,1792840.0
44,1560430.0
45,1641210.0
46,1485870.0
47,1339840.0
48,1484440.0
49,1679790.0
50,1430330.0
51,1494560.0
52,1847480.0
53,1381270.0
54,1279100.0
55,1306740.0
56,1353250.0
57,1298510.0
58,1236200.0
59,1147210.0
60,1418730.0
61,1025650.0
62,816638.0
63,426708.0
64,652072.0
65,239609.0
66,240375.0
67,190343.0
68,174305.0
69,129820.0
70,249346.0
71,228628.0
72,169278.0
73,163386.0
74,141083.0
75,185198.0
76,155181.0
77,143433.0
78,139463.0
79,215303.0
80,234527.0
81,165498.0
82,102148.0
83,142057.0
84,138457.0
85,144313.0
86,148207.0
87,138793.0
88,140217.0
89,210072.0
90,219481.0
91,172285.0
92,220021.0
93,117221.0
94,191896.0
95,141432.0
96,195341.0
97,125704.0
98,258054.0
99,174422.0
100,185421.0
101,132491.0
102,130331.0
103,108609.0
104,149844.0
105,139898.0
106,139707.0
107,172702.0
108,239634.0
109,193657.0
110,207899.0
111,121111.0
112,138123.0
113,126278.0
114,158129.0
115,115541.0
116,111087.0
117,142520.0
118,230249.0
119,644884.0
120,136644.0
121,112676.0
122,151516.0
123,115007.0
124,360596.0
125,309671.0
126,243612.0
127,573085.0
128,575524.0
129,546644.0
130,132596.0
131,243098.0
132,165753.0
133,177991.0
134,146071.0
135,154875.0
136,339470.0
137,258782.0
138,178200.0
139,141222.0
140,157504.0
141,163958.0
142,232850.0
143,223388.0
144,212918.0
145,173422.0
146,214371.0
147,231803.0
148,206329.0
149,329292.0
150,182233.0
151,193271.0
152,416517.0
153,397469.0
154,440275.0
155,517852.0
156,567806.0
157,209981.0
158,165941.0
159,496538.0
160,416169.0
161,558133.0
162,951583.0
163,832664.0
164,347124.0
165,353460.0
166,194687.0
167,227550.0
168,200301.0
169,168704.0
170,175503.0
171,155642.0
172,223457.0
173,310482.0
174,278512.0
175,135083.0
176,114709.0
177,217941.0
178,422490.0
179,211842.0
180,451998.0
181,411291.0
182,524118.0
183,250946.0
184,403220.0
185,472176.0
186,206785.0
187,137634.0
188,130720.0
189,112755.0
190,129883.0
191,168186.0
192,165221.0
193,162701.0
194,140097.0
195,124348.0
196,162816.0
197,153234.0
198,145682.0
199,209302.0
200,257384.0
201,362918.0
202,342591.0
203,401426.0
204,267015.0
205,293550.0
206,207699.0
207,169904.0
208,154265.0
209,120893.0
210,293145.0
211,354669.0
212,435425.0
213,373884.0
214,313803.0
215,117164.0
216,309890.0
217,101118.0
218,156131.0
219,294885.0
220,294321.0
221,335181.0
222,233121.0
223,275299.0
224,301288.0
225,305222.0
226,145030.0
227,179535.0
228,124870.0
229,210327.0
