interval,hitsL3
0,2847900.0
1,3985330.0
2,2835940.0
3,2102900.0
4,2083270.0
5,2079370.0
6,2121120.0
7,2513460.0
8,2414340.0
9,2054600.0
10,2642890.0
11,2452380.0
12,2636970.0
13,2868440.0
14,2729120.0
15,3816550.0
16,2723870.0
17,1995800.0
18,1924680.0
19,1933450.0
20,2003530.0
21,2398210.0
22,2460510.0
23,1992930.0
24,2386270.0
25,2664890.0
26,2640800.0
27,2349260.0
28,2831970.0
29,3440840.0
30,3130340.0
31,2192010.0
32,1874150.0
33,2278340.0
34,1795540.0
35,2563110.0
36,2435400.0
37,2163140.0
38,2217690.0
39,2851850.0
40,2716110.0
41,2663630.0
42,2740610.0
43,3349130.0
44,3610640.0
45,2700180.0
46,1941780.0
47,2260460.0
48,2110710.0
49,2652380.0
50,2831540.0
51,2580900.0
52,2563250.0
53,3081610.0
54,3047190.0
55,2929180.0
56,3117360.0
57,3936880.0
58,3940060.0
59,2575170.0
60,2313330.0
61,2224480.0
62,2190780.0
63,3034710.0
64,3060900.0
65,2528770.0
66,2851920.0
67,3147540.0
68,3073740.0
69,3121660.0
70,3229230.0
71,4295670.0
72,3242010.0
73,2254440.0
74,2318560.0
75,6755130.0
76,2210760.0
77,2987800.0
78,3015170.0
79,2779170.0
80,4365230.0
81,3267280.0
82,3410790.0
83,4120820.0
84,4485100.0
85,3745620.0
86,3420040.0
87,3143800.0
88,3963140.0
89,4646940.0
90,3276530.0
91,3739770.0
92,3450170.0
93,3804360.0
94,4544580.0
95,3427530.0
96,3742510.0
97,4025940.0
98,3970090.0
99,3990580.0
100,3784170.0
101,3379570.0
102,4381110.0
103,4717960.0
104,3432010.0
105,3841440.0
106,3770400.0
107,5118660.0
108,3629940.0
109,2643810.0
110,2568990.0
111,7423690.0
112,3411090.0
113,3073630.0
114,3515000.0
