interval,hitsperOccupL3(KB)
0,621.8153409090909
1,1500.778125
2,736.9446022727273
3,942.6323529411765
4,1087.265625
5,1006.1696428571429
6,1139.84375
7,1650.576388888889
8,871.1857638888889
9,1167.5
10,830.1979166666666
11,1160.2213541666667
12,1112.264423076923
13,1096.5424107142858
14,1030.1145833333333
15,1629.2083333333333
16,860.7729166666667
17,890.65625
18,1866.03515625
19,626.9646739130435
20,1140.391826923077
21,1330.6051136363637
22,1207.9086538461538
23,1647.6666666666667
24,1042.299107142857
25,1098.485576923077
26,920.8272058823529
27,1279.5677083333333
28,1670.6527777777778
29,1715.1006944444443
30,895.6654411764706
31,1254.9322916666667
32,1146.4759615384614
33,1502.865625
34,986.8125
35,822.6145833333334
36,921.25625
37,866.0827205882352
38,992.6604166666667
39,865.0202205882352
40,924.4375
41,707.3422619047619
42,821.9889705882352
43,1040.734375
44,1300.002840909091
45,1083.2475961538462
46,1268.3880208333333
47,1038.435267857143
48,1198.1223958333333
49,1634.4131944444443
50,1200.0865384615386
51,1250.3039772727273
52,1411.54375
53,2387.34375
54,1226.5807291666667
55,2047.9598214285713
56,746.7220394736842
57,1667.4618055555557
58,896.912109375
59,749.2927631578947
60,831.7334558823529
61,1233.9114583333333
62,1973.79296875
63,1206.5130208333333
64,1051.9486607142858
65,925.515625
66,2185.1026785714284
67,772.8453947368421
68,2054.7276785714284
69,931.005859375
70,734.921875
71,899.76953125
72,1420.925
73,1521.65625
74,3563.640625
75,1461.0875
76,1443.21875
77,2432.875
78,1022.2209821428571
79,1214.5520833333333
80,1620.75
81,1202.8352272727273
82,1104.1634615384614
83,1176.6848958333333
84,945.873046875
85,1198.5697115384614
86,965.6520833333333
87,1309.2670454545455
88,1028.580357142857
89,1101.4447115384614
90,955.9791666666666
91,1292.028409090909
92,1451.5375
93,1685.46875
94,1183.0885416666667
95,938.14375
96,948.6583333333333
97,1568.3875
98,1402.4289772727273
99,985.3325892857143
100,1169.1947115384614
101,1412.746875
102,1277.4488636363637
103,902.677734375
104,1042.5424107142858
105,1304.1704545454545
106,2433.2708333333335
107,1240.6067708333333
108,1429.359375
109,1159.9713541666667
110,1283.877840909091
111,1325.1392045454545
112,1146.0360576923076
113,877.4007352941177
114,1473.65625
115,1287.440340909091
116,682.409375
117,721.496875
118,918.2708333333334
