interval,hitsperOccupL3(KB)
0,2825.8125
1,325.81333705357144
2,390.5420918367347
3,397.5784465020576
4,514.7621268656717
5,357.12254213483146
6,455.8909970238095
7,740.2438186813187
8,434.8747119815668
9,476.23208598726114
10,783.6337209302326
11,459.7887323943662
12,444.12059294871796
13,462.3305457746479
14,445.0066489361702
15,455.3382352941176
16,757.2272727272727
17,652.6721014492754
18,500.030737704918
19,461.2755102040816
20,446.33052147239266
21,732.3863636363636
22,464.4273952095808
23,583.015873015873
24,430.9544836956522
25,405.3292682926829
26,398.1819581280788
27,456.66223404255317
28,348.5528621495327
29,472.4933862433862
30,441.3239734299517
31,392.6743861607143
32,418.20652173913044
33,419.2909192825112
34,519.1499352331606
35,400.7956827309237
36,491.1393540669856
37,381.49056603773585
38,509.02859669811323
39,472.7854938271605
40,565.3288246268656
41,542.3810369318181
42,417.0095108695652
43,471.7413101604278
44,447.49535891089107
45,460.2002762430939
46,434.2246462264151
47,404.5429322429907
48,415.99418604651163
49,534.1769801980198
50,496.89604922279796
51,434.4736842105263
52,343.17680481283423
53,449.3411726804124
54,405.79829545454544
55,433.2604166666667
56,446.45321038251365
57,413.64789603960395
58,487.8382554945055
59,432.4355670103093
60,371.10795454545456
61,478.60562865497076
62,391.23878205128204
63,440.4345703125
64,396.44268134715026
65,1041.0144927536232
66,450.1407284768212
67,361.8438981042654
68,438.2275641025641
69,481.8629807692308
70,427.25435323383084
71,462.2609289617486
72,467.60302197802196
73,467.81767955801104
74,467.8526536312849
75,415.83664772727275
76,392.4725609756098
77,454.7702205882353
78,409.6736725663717
79,449.9504950495049
80,448.50676546391753
81,516.5330882352941
82,421.19375
83,503.79438920454544
84,389.3297511312217
85,381.9243421052632
86,347.8545673076923
87,458.3425245098039
88,549.2729922279793
89,466.92822802197804
90,488.7761780104712
91,423.65442961165047
92,547.6305147058823
93,581.5391042780749
94,394.28356986899564
95,482.7227722772277
96,446.4962557603687
97,498.4586588541667
98,435.9170918367347
99,368.68456678700363
100,532.2965686274509
101,442.4573863636364
102,386.15045362903226
103,368.45588235294116
104,469.67139175257734
105,381.4360465116279
106,396.98505434782606
107,372.7083333333333
108,399.068287037037
109,422.4671875
110,410.140243902439
111,366.89903846153845
112,294.4870580808081
113,432.5621890547264
114,392.327634529148
115,586.4103084415584
116,399.5962389380531
117,464.01960784313724
118,434.4717261904762
119,416.3027777777778
120,406.0571509009009
121,377.7668991416309
122,413.0198170731707
123,512.5208333333334
124,481.04052197802196
125,363.181330472103
126,381.8879132231405
127,648.2619201030927
128,1200.0287828947369
129,762.0478723404256
130,1009.9667159763313
131,977.875744047619
132,1034.813286163522
