interval,hitsL3
0,18321.0
1,22447.0
2,56148.0
3,6240.0
4,252542.0
5,919201.0
6,986430.0
7,949611.0
8,5235.0
9,143505.0
10,941911.0
11,1514140.0
12,550535.0
13,695682.0
14,948700.0
15,726582.0
16,597655.0
17,2096330.0
18,1885360.0
19,932819.0
20,649826.0
21,1215470.0
22,1589590.0
23,396015.0
24,667151.0
25,1246630.0
26,837998.0
27,462666.0
28,702349.0
29,1241630.0
30,752443.0
31,673558.0
32,703983.0
33,1226110.0
34,771196.0
35,727407.0
36,742212.0
37,858979.0
38,1445190.0
39,592330.0
40,628377.0
41,595589.0
42,1150890.0
43,404011.0
44,567407.0
45,610909.0
46,653726.0
47,950690.0
48,1133200.0
49,1005000.0
50,994988.0
51,1425380.0
52,1464390.0
53,974265.0
54,1033490.0
55,2320620.0
56,1506820.0
57,949727.0
58,927936.0
59,966982.0
60,1197750.0
61,2158360.0
62,933386.0
63,913061.0
64,835555.0
65,1328450.0
66,1395140.0
67,1036060.0
68,809005.0
69,748617.0
70,1297020.0
71,694531.0
72,740903.0
73,816591.0
74,877882.0
75,1164730.0
76,704860.0
77,692280.0
78,738802.0
79,1269890.0
80,1251770.0
81,678827.0
82,643267.0
83,555631.0
84,1275580.0
85,458969.0
86,499857.0
87,648934.0
88,657728.0
89,1304120.0
90,500464.0
91,545259.0
92,1089130.0
93,1365880.0
94,506358.0
95,1258070.0
96,1223130.0
97,1609660.0
98,1455880.0
99,974728.0
100,909676.0
101,983427.0
102,1205200.0
103,2849900.0
104,957359.0
105,996685.0
106,829455.0
107,1180140.0
108,807304.0
109,817072.0
110,840204.0
111,797084.0
112,1577150.0
113,641766.0
114,650437.0
115,661782.0
116,1241260.0
117,1028150.0
118,653308.0
119,588581.0
120,529013.0
121,1265130.0
122,446553.0
123,537431.0
124,602417.0
125,1393560.0
